BlockGroup,0to25,25to50,50to75,75to100,100to125,125to150,150to200,200plus
1028011,91,254,220,285,81,22,165,18
1028012,131,89,153,33,16,26,42,44
1028013,0,35,64,13,75,33,12,42
1028014,65,100,130,85,30,63,46,0
1028015,11,43,207,27,80,98,32,54
1028016,29,10,75,37,120,0,0,24
1028021,13,5,24,34,60,31,44,29
1028022,0,65,10,27,13,0,69,80
1029011,17,52,81,73,83,112,79,72
1029012,46,34,89,138,88,68,56,80
1029013,17,0,100,70,82,58,110,19
1029021,102,101,487,189,139,64,173,234
1029022,49,32,82,195,193,105,180,136
1030001,63,24,26,51,43,130,151,138
1030002,31,24,14,0,98,33,89,104
1030003,27,34,52,109,54,128,177,83
1031001,149,92,24,171,146,69,343,57
1031002,215,276,68,76,49,43,64,136
1031003,78,39,93,34,63,137,37,0
1032001,49,51,162,70,103,32,33,0
1032002,120,257,105,107,116,41,55,30
1032003,36,44,48,51,204,53,151,41
1032004,10,34,80,193,43,99,170,10
1033001,149,44,74,12,56,68,8,25
1033002,67,150,142,60,117,31,99,23
1034011,37,13,6,0,18,10,0,5
1034021,58,32,49,75,88,89,71,135
1034022,25,45,0,95,124,59,87,69
1034023,16,72,87,174,307,39,91,119
1034024,25,56,134,121,30,106,87,81
1034025,44,43,55,170,152,108,157,115
1035011,30,68,168,121,101,23,59,66
1035012,108,127,218,190,173,55,34,14
1035013,21,17,186,99,106,50,75,62
1035021,145,91,113,265,244,278,350,281
1035022,300,24,15,44,29,15,76,14
1035031,67,77,101,440,91,114,175,142
1035032,87,59,60,225,78,123,126,151
1036011,9,9,8,19,18,32,39,165
1036012,17,20,11,44,25,6,77,77
1036013,16,0,23,37,47,39,51,129
1036021,61,42,83,56,31,10,17,4
1036022,23,61,48,60,51,65,18,9
1037001,5,5,12,21,25,15,59,199
1037002,26,19,17,51,55,60,130,259
1038001,125,212,242,227,219,136,134,133
1038002,161,15,65,62,40,0,60,17
1038003,15,45,84,73,82,55,49,54
9801001,0,0,15,0,0,0,0,0
9802001,0,0,0,0,8,0,0,0
