GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
1500000US510131034024,510131034024,"Block Group 4, Census Tract 1034.02, Arlington County, Virginia",230,114,191,106,59,60,45,55,0,12,14,23,132,107,39,39,31,37,31,37,0,12,0,12,31,37,0,12,8,14,0,12,0,12,0,12,0,12,8,14
1500000US510131034025,510131034025,"Block Group 5, Census Tract 1034.02, Arlington County, Virginia",183,78,168,78,8,18,0,12,8,18,0,12,160,83,15,23,15,23,15,23,15,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131035011,510131035011,"Block Group 1, Census Tract 1035.01, Arlington County, Virginia",98,61,84,55,0,12,0,12,0,12,0,12,84,55,14,24,0,12,0,12,0,12,0,12,0,12,0,12,14,24,0,12,0,12,0,12,0,12,14,24
1500000US510131035012,510131035012,"Block Group 2, Census Tract 1035.01, Arlington County, Virginia",157,142,117,136,10,17,10,17,0,12,0,12,107,137,40,40,11,18,11,18,11,18,0,12,0,12,0,12,29,36,13,23,0,12,0,12,13,23,16,26
1500000US510131035013,510131035013,"Block Group 3, Census Tract 1035.01, Arlington County, Virginia",188,124,188,124,97,100,97,100,0,12,0,12,91,70,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131035021,510131035021,"Block Group 1, Census Tract 1035.02, Arlington County, Virginia",344,135,272,119,85,74,76,74,9,15,0,12,187,91,72,85,49,78,0,12,0,12,0,12,0,12,49,78,23,30,10,20,0,12,0,12,10,20,13,22
1500000US510131035022,510131035022,"Block Group 2, Census Tract 1035.02, Arlington County, Virginia",198,105,198,105,61,68,24,38,0,12,37,56,137,80,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131035031,510131035031,"Block Group 1, Census Tract 1035.03, Arlington County, Virginia",388,130,360,127,25,31,0,12,12,22,13,20,335,121,28,33,0,12,0,12,0,12,0,12,0,12,0,12,28,33,13,21,13,21,0,12,0,12,15,24
1500000US510131035032,510131035032,"Block Group 2, Census Tract 1035.03, Arlington County, Virginia",442,122,426,115,64,49,57,47,0,12,7,21,362,110,16,26,0,12,0,12,0,12,0,12,0,12,0,12,16,26,0,12,0,12,0,12,0,12,16,26
1500000US510131036011,510131036011,"Block Group 1, Census Tract 1036.01, Arlington County, Virginia",280,66,252,69,122,62,81,56,10,15,31,23,130,49,28,23,9,17,0,12,0,12,0,12,0,12,9,17,19,21,8,12,0,12,0,12,8,12,11,17
1500000US510131036012,510131036012,"Block Group 2, Census Tract 1036.01, Arlington County, Virginia",184,63,184,63,68,44,9,16,0,12,59,41,116,54,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131036013,510131036013,"Block Group 3, Census Tract 1036.01, Arlington County, Virginia",178,51,168,50,67,44,35,44,26,19,6,9,101,42,10,15,10,15,0,12,0,12,0,12,0,12,10,15,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131036021,510131036021,"Block Group 1, Census Tract 1036.02, Arlington County, Virginia",86,46,66,37,23,17,18,16,0,12,5,7,43,30,20,33,0,12,0,12,0,12,0,12,0,12,0,12,20,33,20,33,0,12,0,12,20,33,0,12
1500000US510131036022,510131036022,"Block Group 2, Census Tract 1036.02, Arlington County, Virginia",95,58,89,58,5,8,5,8,0,12,0,12,84,57,6,10,0,12,0,12,0,12,0,12,0,12,0,12,6,10,0,12,0,12,0,12,0,12,6,10
1500000US510131037001,510131037001,"Block Group 1, Census Tract 1037, Arlington County, Virginia",217,53,217,53,66,36,29,25,6,10,31,25,151,39,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131037002,510131037002,"Block Group 2, Census Tract 1037, Arlington County, Virginia",343,74,331,73,101,50,12,15,40,29,49,34,230,55,12,14,0,12,0,12,0,12,0,12,0,12,0,12,12,14,0,12,0,12,0,12,0,12,12,14
1500000US510131038001,510131038001,"Block Group 1, Census Tract 1038, Arlington County, Virginia",489,138,291,111,151,83,127,74,24,39,0,12,140,71,198,98,68,47,46,49,36,37,0,12,10,24,22,29,130,103,77,82,59,69,0,12,18,39,53,58
1500000US510131038002,510131038002,"Block Group 2, Census Tract 1038, Arlington County, Virginia",160,82,114,75,40,49,13,21,0,12,27,44,74,59,46,41,34,35,0,12,0,12,0,12,0,12,34,35,12,19,12,19,12,19,0,12,0,12,0,12
1500000US510131038003,510131038003,"Block Group 3, Census Tract 1038, Arlington County, Virginia",208,91,194,93,61,68,0,12,0,12,61,68,133,63,14,23,14,23,14,23,14,23,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510139801001,510139801001,"Block Group 1, Census Tract 9801, Arlington County, Virginia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510139802001,510139802001,"Block Group 1, Census Tract 9802, Arlington County, Virginia",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
