GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - 1-person household,Margin of Error; Owner occupied: - 1-person household,Estimate; Owner occupied: - 2-person household,Margin of Error; Owner occupied: - 2-person household,Estimate; Owner occupied: - 3-person household,Margin of Error; Owner occupied: - 3-person household,Estimate; Owner occupied: - 4-person household,Margin of Error; Owner occupied: - 4-person household,Estimate; Owner occupied: - 5-person household,Margin of Error; Owner occupied: - 5-person household,Estimate; Owner occupied: - 6-person household,Margin of Error; Owner occupied: - 6-person household,Estimate; Owner occupied: - 7-or-more person household,Margin of Error; Owner occupied: - 7-or-more person household,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - 1-person household,Margin of Error; Renter occupied: - 1-person household,Estimate; Renter occupied: - 2-person household,Margin of Error; Renter occupied: - 2-person household,Estimate; Renter occupied: - 3-person household,Margin of Error; Renter occupied: - 3-person household,Estimate; Renter occupied: - 4-person household,Margin of Error; Renter occupied: - 4-person household,Estimate; Renter occupied: - 5-person household,Margin of Error; Renter occupied: - 5-person household,Estimate; Renter occupied: - 6-person household,Margin of Error; Renter occupied: - 6-person household,Estimate; Renter occupied: - 7-or-more person household,Margin of Error; Renter occupied: - 7-or-more person household
1500000US510131004003,510131004003,"Block Group 3, Census Tract 1004, Arlington County, Virginia",463,55,417,56,62,35,137,53,80,45,52,35,75,43,0,12,11,16,46,30,0,12,8,13,0,12,38,26,0,12,0,12,0,12
1500000US510131005001,510131005001,"Block Group 1, Census Tract 1005, Arlington County, Virginia",503,74,337,57,30,24,83,38,74,33,98,44,38,43,14,22,0,12,166,55,53,42,105,55,8,13,0,12,0,12,0,12,0,12
1500000US510131005002,510131005002,"Block Group 2, Census Tract 1005, Arlington County, Virginia",255,53,202,47,35,24,82,41,33,30,52,34,0,12,0,12,0,12,53,42,8,12,14,20,9,14,0,12,22,33,0,12,0,12
1500000US510131005003,510131005003,"Block Group 3, Census Tract 1005, Arlington County, Virginia",424,53,365,47,77,38,114,42,83,37,49,31,15,18,27,28,0,12,59,44,0,12,15,19,24,34,20,23,0,12,0,12,0,12
1500000US510131005004,510131005004,"Block Group 4, Census Tract 1005, Arlington County, Virginia",452,94,351,98,60,34,66,33,86,48,72,74,67,84,0,12,0,12,101,47,36,38,30,23,0,12,35,38,0,12,0,12,0,12
1500000US510131006001,510131006001,"Block Group 1, Census Tract 1006, Arlington County, Virginia",439,83,305,81,41,33,126,80,45,60,73,40,20,22,0,12,0,12,134,71,50,31,63,62,21,25,0,12,0,12,0,12,0,12
1500000US510131006002,510131006002,"Block Group 2, Census Tract 1006, Arlington County, Virginia",280,59,245,53,44,35,54,42,64,36,64,32,8,13,0,12,11,15,35,37,10,17,12,20,13,23,0,12,0,12,0,12,0,12
1500000US510131006003,510131006003,"Block Group 3, Census Tract 1006, Arlington County, Virginia",535,80,327,63,116,47,103,51,40,37,68,35,0,12,0,12,0,12,208,67,119,56,69,47,0,12,20,22,0,12,0,12,0,12
1500000US510131007001,510131007001,"Block Group 1, Census Tract 1007, Arlington County, Virginia",888,131,372,112,193,89,67,52,81,68,31,52,0,12,0,12,0,12,516,147,255,113,118,90,0,12,110,126,33,39,0,12,0,12
1500000US510131007002,510131007002,"Block Group 2, Census Tract 1007, Arlington County, Virginia",282,87,266,91,0,12,91,49,36,44,70,51,69,70,0,12,0,12,16,23,0,12,16,23,0,12,0,12,0,12,0,12,0,12
1500000US510131007003,510131007003,"Block Group 3, Census Tract 1007, Arlington County, Virginia",226,69,226,69,47,48,99,56,31,36,22,30,27,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131007004,510131007004,"Block Group 4, Census Tract 1007, Arlington County, Virginia",215,66,203,67,20,24,47,30,9,16,77,61,41,56,9,17,0,12,12,19,0,12,0,12,12,19,0,12,0,12,0,12,0,12
1500000US510131007005,510131007005,"Block Group 5, Census Tract 1007, Arlington County, Virginia",188,74,79,41,12,19,53,46,0,12,0,12,14,15,0,12,0,12,109,71,75,73,21,26,0,12,0,12,0,12,13,14,0,12
1500000US510131007006,510131007006,"Block Group 6, Census Tract 1007, Arlington County, Virginia",296,76,222,66,33,32,117,69,72,53,0,12,0,12,0,12,0,12,74,61,63,58,11,18,0,12,0,12,0,12,0,12,0,12
1500000US510131008001,510131008001,"Block Group 1, Census Tract 1008, Arlington County, Virginia",230,49,187,45,24,22,24,18,54,30,48,24,10,14,14,22,13,15,43,28,0,12,16,19,21,23,6,9,0,12,0,12,0,12
1500000US510131008002,510131008002,"Block Group 2, Census Tract 1008, Arlington County, Virginia",304,55,240,45,51,33,81,41,26,19,41,24,30,23,11,16,0,12,64,51,41,46,4,7,10,13,9,11,0,12,0,12,0,12
1500000US510131009001,510131009001,"Block Group 1, Census Tract 1009, Arlington County, Virginia",497,68,418,51,27,23,163,50,72,36,85,44,43,26,0,12,28,26,79,55,0,12,6,9,13,15,8,12,22,32,30,45,0,12
1500000US510131009002,510131009002,"Block Group 2, Census Tract 1009, Arlington County, Virginia",267,42,231,46,15,17,88,44,40,26,88,40,0,12,0,12,0,12,36,33,0,12,0,12,0,12,16,17,20,28,0,12,0,12
1500000US510131009003,510131009003,"Block Group 3, Census Tract 1009, Arlington County, Virginia",293,53,191,38,16,13,91,41,25,25,44,29,15,17,0,12,0,12,102,45,59,45,21,22,7,11,15,17,0,12,0,12,0,12
1500000US510131009004,510131009004,"Block Group 4, Census Tract 1009, Arlington County, Virginia",629,87,139,60,27,25,18,21,8,12,31,29,55,53,0,12,0,12,490,77,266,79,156,76,0,12,59,59,0,12,9,16,0,12
1500000US510131010001,510131010001,"Block Group 1, Census Tract 1010, Arlington County, Virginia",340,62,265,63,38,32,118,46,66,60,24,28,9,14,10,15,0,12,75,62,0,12,11,17,49,58,11,16,0,12,4,8,0,12
